Random waveform, random seed
Total number of intervals = 120 (87311, 175122, 19544, 148156, 72814, 131310, 104534, 6405, 173117, 96952, 159387, 170166, 36098, 114517, 141604, 22756, 56922, 93451, 121633, 39345, 81173, 99432, 21243, 179871, 41779, 41697, 56395, 157553, 153081, 63735, 141901, 116552, 35131, 134300, 122598, 145633, 21330, 62072, 23013, 5604, 8297, 116913, 164318, 101100, 49715, 76227, 100937, 99710, 137979, 12967, 32905, 169443, 124534, 133267, 95907, 90392, 152469, 107662, 84867, 54723, 60587, 91921, 125164, 53122, 100767, 55291, 148219, 75208, 118433, 158209, 146219, 71483, 165607, 66900, 139225, 128394, 91807, 143497, 160640, 51567, 51501, 161074, 169278, 161988, 132020, 126532, 128483, 5983, 80921, 55638, 36253, 89816, 102695, 76539, 86745, 122250, 88325, 68692, 157029, 103310, 82249, 154451, 165263, 52269, 114125, 31937, 11005, 131651, 52912, 75976, 69955, 33519, 168291, 16478, 74311, 88348, 107149, 29910, 68992, 114628)
Average QPS expected = 94919
Timestamp start: 1747074489639
Timestamp end: 1747075689877

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      219.9   125.8    59.1   102.2   111.7   185.9   244.3   278.2   301.9   329.0   365.8   431.3   588.7   994.8  2638.9 100589.9   100767
read      235.3   159.8    63.8    99.3   109.0   221.5   278.3   309.2   329.8   352.8   380.3   420.8   502.5   837.9  3105.2  55373.5    55291
read      241.4   221.3    63.8   113.2   125.5   201.1   246.0   272.4   292.0   315.4   346.1   403.7  1372.2  2511.8  7043.9 148333.2   148219
read      229.2   148.2    59.1   100.8   110.1   204.1   267.4   299.3   321.0   347.4   382.1   431.7   531.2   900.5  3216.5  75285.6    75208
read      220.0   160.0    59.1   104.3   114.1   183.2   231.2   262.1   284.1   309.3   340.6   396.7   835.6  1981.9  3182.9 118358.6   118433
read      215.8   111.7    63.8   114.6   127.2   195.4   232.8   256.5   274.1   295.5   322.7   367.0   486.3  1343.1  3128.9 158177.0   158209
read      208.7   111.0    59.1   110.2   120.8   186.6   226.1   251.0   269.9   292.2   319.6   361.5   462.0  1275.0  3310.4 146183.6   146219
read      229.8   129.4    63.8   101.0   110.4   207.7   268.0   298.4   319.6   344.9   377.8   427.7   532.8  1042.4  4134.8  71535.4    71483
read      225.9   115.2    63.8   119.8   133.4   206.2   243.9   267.0   284.2   305.2   333.4   379.8   527.4  1381.0  3253.5 165557.2   165607
read      235.3   115.4    59.1   100.7   110.4   216.5   277.4   310.8   334.0   360.4   391.8   434.9   524.8   694.5  2181.9  66850.2    66900
read      254.2   253.7    63.8   111.0   122.6   201.1   248.9   276.2   296.4   320.5   355.0   431.6  1517.9  2738.8  5100.4 139337.9   139225
read      209.5   129.9    59.1   105.6   115.5   181.7   226.0   254.4   274.9   298.5   327.1   369.5   508.3  1602.5  3671.4 128413.5   128394
read      226.3   125.7    63.8   102.5   112.0   193.7   256.6   291.0   314.8   343.2   381.8   441.7   570.0   861.9  3523.6  91767.3    91807
read      214.2   229.7    63.8   110.8   121.8   190.2   230.8   256.5   275.3   298.2   326.9   371.0   500.6  1377.8  3327.9 143418.9   143497
read      224.0   180.6    59.1   118.3   131.3   203.0   240.9   264.6   282.1   303.5   331.8   377.2   515.4  1340.3  4993.8 160915.8   160640
read      231.4   121.9    59.1   100.5   110.2   221.1   273.0   300.8   319.5   341.6   368.4   405.7   484.8   738.9  2385.9  51732.2    51567
read      233.9   105.9    54.7   100.0   109.8   223.3   278.6   308.4   328.1   349.4   374.3   411.3   482.5   610.3  1724.7  51499.9    51501
read      285.8   262.9    59.1   125.3   141.2   234.6   279.9   306.2   325.9   351.8   392.2   502.1  1519.1  2946.0  6137.1 160955.3   161074
read      228.0   149.9    63.8   120.1   133.8   206.5   243.4   265.9   282.6   302.9   329.8   373.5   525.9  2374.1  4378.4 169221.5   169278
read      214.6   117.6    63.8   113.9   126.2   193.8   230.9   254.1   271.9   293.2   320.1   364.5   488.9  1451.8  3260.0 162097.8   161988
read      208.3   124.0    59.1   105.4   115.3   181.0   224.4   252.7   273.6   297.8   327.3   371.7   529.2  1386.0  3345.7 132185.3   132020
read      213.1   125.5    59.1   106.9   117.1   185.2   230.8   260.1   281.1   305.2   334.2   378.8   534.6  1486.1  3359.8 126582.0   126532
read      225.4   184.7    63.8   106.8   117.2   187.5   233.7   263.0   284.0   308.3   338.9   392.9  1011.4  2259.8  4773.2 128476.2   128483
read      182.0   101.8    68.9   107.3   119.2   173.0   193.4   204.8   213.3   223.3   235.5   261.5   364.0  1284.2  5130.5   5992.8     5983
read      231.4   141.9    59.1   101.2   110.6   201.4   267.0   301.0   325.0   353.8   390.9   445.1   552.7  1145.8  3413.4  80876.8    80921
read      237.0   120.7    63.8    98.9   108.4   223.9   280.7   311.8   333.1   356.8   385.0   425.1   507.3  1089.5  2816.9  55553.6    55638
read      231.2   105.3    59.1   100.1   110.4   225.1   273.3   297.4   313.7   332.0   354.4   389.8   464.9   732.8  2787.5  36260.8    36253
read      219.2   123.0    59.1   101.7   111.3   190.9   250.6   281.4   302.1   325.7   358.8   416.1   537.5   759.8  3207.8  89727.9    89816
read      201.9    92.6    59.1   101.6   110.9   178.5   230.4   261.2   280.2   299.9   321.6   355.5   432.8   586.3  2126.6 102670.7   102695
read      204.4    88.3    59.1   100.2   109.7   187.1   243.2   267.3   282.2   297.6   316.6   344.7   418.2   585.9  1397.2  76520.3    76539
read      202.9   156.1    59.1   100.1   109.3   181.6   237.9   265.2   281.6   298.5   318.4   348.0   421.6   548.8  2029.9  86734.4    86745
read      200.5    92.1    59.1   103.7   113.2   177.2   222.1   251.6   272.3   294.8   319.8   355.9   435.1   619.8  2360.2 122273.9   122250
read      204.5   111.8    59.1   100.5   109.9   182.4   238.4   266.2   283.0   300.5   320.5   353.0   433.9   623.6  4440.3  88389.0    88325
read      205.6    87.3    59.1   100.6   110.1   192.8   245.6   267.3   281.0   295.5   314.2   342.1   413.3   545.8  1464.1  68786.5    68692
read      209.5    89.2    63.8   113.4   125.2   191.1   228.3   251.8   269.8   291.2   317.7   358.5   454.6   708.5  2094.2 157248.2   157029
read      205.9   100.1    59.1   102.4   112.0   181.5   233.3   264.2   283.9   304.6   328.6   365.8   461.3   682.4  2407.3 103347.6   103310
read      207.0    90.7    59.1   101.4   110.8   187.0   244.6   270.9   287.1   304.3   324.2   355.8   430.5   580.2  1653.7  82166.8    82249
read      223.7   101.5    63.8   119.1   132.2   204.9   244.4   268.7   287.1   309.0   337.1   381.4   497.7   837.6  2567.8 154656.3   154451
read      228.4    99.2    54.7   123.0   137.3   211.2   248.8   271.7   289.2   310.2   337.9   383.2   503.3   891.6  2737.0 165487.5   165263
read      218.0   111.7    59.1   104.6   115.5   215.7   258.0   275.7   288.3   302.2   319.3   347.2   429.2   625.7  2798.9  52242.5    52269
read      214.6    97.4    63.8   107.8   118.3   191.3   241.5   271.6   291.8   313.5   339.5   378.5   481.2   693.2  1520.5 114022.9   114125
read      214.8    72.7    63.8   109.9   122.2   218.7   247.2   261.6   271.0   282.9   296.7   320.6   383.7   500.1  1093.0  32005.8    31937
read      198.0    70.6    68.9   119.3   134.8   195.4   216.0   227.0   234.2   244.3   255.9   276.9   339.3   506.7  2528.5  10982.2    11005
read      209.5    92.7    63.8   109.3   119.7   187.3   231.0   258.9   279.2   302.4   329.8   368.8   460.0   675.6  2051.6 131730.7   131651
read      214.0   100.5    63.8   103.5   113.8   210.4   254.2   272.2   284.7   297.8   315.8   343.0   409.9   577.6  4073.8  52911.7    52912
read      209.2    88.8    63.8   102.1   111.9   192.7   248.3   272.6   288.0   304.7   324.1   354.7   425.4   547.2  1586.7  76046.7    75976
read      205.7    86.6    59.1   100.2   109.6   191.4   245.9   268.4   282.6   297.4   316.7   345.1   413.4   537.3  1872.8  69920.5    69955
read      203.3    83.8    63.8   104.9   115.6   203.6   232.6   247.1   256.9   268.9   284.4   309.4   370.0   534.2  2554.6  33471.3    33519
read      213.9    88.4    59.1   117.5   130.0   197.0   232.2   254.1   271.1   291.6   317.8   359.5   461.1   809.4  1710.4 168205.7   168291
read      190.6    74.1    63.8   110.9   123.6   187.7   208.8   220.4   229.1   238.6   252.3   274.0   333.6   499.5  2691.2  16500.8    16478
read      204.9    92.9    59.1   100.1   109.5   187.8   243.2   267.2   282.0   297.5   317.1   345.6   419.5   622.5  2167.2  74198.4    74311
read      203.5    90.9    59.1   100.7   110.0   182.3   236.8   265.3   282.7   300.8   321.6   353.8   426.5   570.9  2236.1  88317.8    88348
read      201.1    89.2    59.1   101.8   111.0   177.4   226.9   258.7   278.9   299.9   323.6   358.5   432.8   575.4  1281.0 107161.1   107149
read      203.0   126.4    63.8   106.0   117.2   201.7   230.1   244.5   254.1   266.3   281.1   305.7   365.0   496.8  7294.1  29867.7    29910
read      205.3    86.7    59.1    99.8   109.4   191.1   245.1   267.8   282.0   297.0   316.5   344.8   413.3   537.3  1370.0  68950.1    68992
read      200.2    95.0    63.8   102.4   111.7   176.3   222.6   253.8   274.9   297.3   322.4   358.3   435.9   593.7  1381.2 114690.7   114628

Total QPS = 94908.5 (113890264 / 1200.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 28130894467 bytes :   22.4 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.87%,24.62%,100.00%
