Random waveform, supplied seed
Total number of intervals = 134 (5319, 118456, 14807, 156463, 28584, 8060, 173248, 35709, 53312, 142106, 67298, 9202, 112614, 14678, 84900, 78527, 71117, 143897, 63774, 105494, 52991, 8157, 45523, 143551, 32455, 140524, 79870, 68547, 167378, 71048, 23332, 108627, 31521, 15365, 93741, 88752, 75839, 47638, 164553, 26684, 103013, 168492, 71479, 98086, 145673, 168771, 34906, 28933, 99751, 124678, 108827, 59514, 75254, 14326, 129032, 144334, 67748, 31935, 152964, 24510, 142233, 101923, 56806, 63569, 160336, 21899, 7042, 29634, 150091, 37119, 121334, 93398, 103013, 165910, 80452, 42779, 48458, 122177, 80746, 85092, 159254, 41774, 127008, 76766, 57778, 124636, 99557, 8674, 157899, 11532, 63522, 70274, 142650, 108738, 132659, 24898, 7593, 17596, 136415, 142719, 38570, 9330, 166088, 101314, 147935, 39225, 173098, 127770, 97194, 30527, 109837, 66634, 43157, 99823, 108232, 39166, 44521, 104945, 97301, 73173, 40131, 176336, 127312, 97810, 50882, 72895, 97764, 162367, 31031, 177679, 122047, 167697, 9912, 136895)
Average QPS expected = 85376
Timestamp start: 1747425076197
Timestamp end: 1747425876467

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      245.1   168.1    63.8   106.6   117.5   198.7   258.0   299.7   335.2   380.6   437.3   522.0   691.2  1857.0  4618.4 102048.3   101923
read      248.2   171.3    63.8   102.9   113.6   224.9   282.3   315.2   338.3   364.4   395.9   442.1   590.7  2371.2  3856.9  56893.5    56806
read      245.6   161.1    63.8   102.2   112.6   220.3   279.4   314.2   338.8   366.7   400.2   450.9   593.4  2084.5  3836.1  63626.3    63569
read      251.0   286.3    63.8   117.0   130.9   209.6   249.6   272.9   290.5   312.0   341.0   394.0  1403.4  3479.9  7149.6 160010.3   160336
read      211.1   101.1    63.8   103.9   116.3   207.5   237.2   253.3   264.8   277.0   293.9   319.0   389.3  1072.9  2714.2  21845.5    21899
read      178.1    72.9    68.9   104.5   117.1   174.9   191.2   200.1   207.2   215.4   227.4   247.0   306.0   872.7  2727.7   7018.5     7042
read      223.7   118.4    63.8   103.9   116.0   216.9   254.6   274.1   288.1   303.6   321.8   352.9   437.8  1351.2  3106.8  29681.8    29634
read      269.8   360.3    63.8   113.8   127.8   210.2   251.4   274.5   292.2   314.0   344.1   406.1  2212.1  3674.3  7810.5 150106.5   150091
read      227.6   150.2    63.8   102.5   113.7   217.4   259.8   283.0   298.9   316.8   339.0   370.8   457.3  1493.9  7949.8  37093.3    37119
read      324.3   381.8    68.9   112.7   126.9   216.2   264.4   295.8   325.4   380.3   619.6  1091.0  2045.3  3264.8  7547.9 121112.0   121334
